tournament_id,stage_number,stage_name,knockout_stage,group_stage,unbalanced_groups,start_date,end_date,count_matches,count_teams,count_scheduled,count_replays,count_walkovers,count_playoffs
WC-1930,1.0,group stage,0.0,1.0,1.0,-14417,-14408,15.0,13.0,15.0,0.0,0.0,0.0
WC-1930,2.0,semi-finals,1.0,0.0,0.0,-14404,-14403,2.0,4.0,2.0,0.0,0.0,0.0
WC-1930,3.0,final,1.0,0.0,0.0,-14400,-14400,1.0,2.0,1.0,0.0,0.0,0.0
WC-1934,1.0,round of 16,1.0,0.0,0.0,-13003,-13003,8.0,16.0,8.0,0.0,0.0,0.0
WC-1934,2.0,quarter-finals,1.0,0.0,0.0,-12999,-12998,5.0,8.0,4.0,1.0,0.0,0.0
WC-1934,3.0,semi-finals,1.0,0.0,0.0,-12996,-12996,2.0,4.0,2.0,0.0,0.0,0.0
WC-1934,4.0,third-place match,1.0,0.0,0.0,-12992,-12992,1.0,2.0,1.0,0.0,0.0,0.0
WC-1934,5.0,final,1.0,0.0,0.0,-12989,-12989,1.0,2.0,1.0,0.0,0.0,0.0
WC-1938,1.0,round of 16,1.0,0.0,0.0,-11534,-11529,9.0,16.0,8.0,2.0,1.0,0.0
WC-1938,2.0,quarter-finals,1.0,0.0,0.0,-11526,-11524,5.0,8.0,4.0,1.0,0.0,0.0
WC-1938,3.0,semi-finals,1.0,0.0,0.0,-11522,-11522,2.0,4.0,2.0,0.0,0.0,0.0
WC-1938,4.0,third-place match,1.0,0.0,0.0,-11519,-11519,1.0,2.0,1.0,0.0,0.0,0.0
WC-1938,5.0,final,1.0,0.0,0.0,-11519,-11519,1.0,2.0,1.0,0.0,0.0,0.0
WC-1950,1.0,group stage,0.0,1.0,1.0,-7131,-7123,16.0,13.0,16.0,0.0,0.0,0.0
WC-1950,2.0,final round,0.0,1.0,0.0,-7116,-7109,6.0,4.0,6.0,0.0,0.0,0.0
WC-1954,1.0,group stage,0.0,1.0,0.0,-5678,-5671,18.0,16.0,16.0,0.0,0.0,2.0
WC-1954,2.0,quarter-finals,1.0,0.0,0.0,-5668,-5667,4.0,8.0,4.0,0.0,0.0,0.0
WC-1954,3.0,semi-finals,1.0,0.0,0.0,-5664,-5664,2.0,4.0,2.0,0.0,0.0,0.0
WC-1954,4.0,third-place match,1.0,0.0,0.0,-5661,-5661,1.0,2.0,1.0,0.0,0.0,0.0
WC-1954,5.0,final,1.0,0.0,0.0,-5660,-5660,1.0,2.0,1.0,0.0,0.0,0.0
WC-1958,1.0,group stage,0.0,1.0,0.0,-4225,-4216,27.0,16.0,24.0,0.0,0.0,3.0
WC-1958,2.0,quarter-finals,1.0,0.0,0.0,-4214,-4214,4.0,8.0,4.0,0.0,0.0,0.0
WC-1958,3.0,semi-finals,1.0,0.0,0.0,-4209,-4209,2.0,4.0,2.0,0.0,0.0,0.0
WC-1958,4.0,third-place match,1.0,0.0,0.0,-4205,-4205,1.0,2.0,1.0,0.0,0.0,0.0
WC-1958,5.0,final,1.0,0.0,0.0,-4204,-4204,1.0,2.0,1.0,0.0,0.0,0.0
WC-1962,1.0,group stage,0.0,1.0,0.0,-2773,-2765,24.0,16.0,24.0,0.0,0.0,0.0
WC-1962,2.0,quarter-finals,1.0,0.0,0.0,-2762,-2762,4.0,8.0,4.0,0.0,0.0,0.0
WC-1962,3.0,semi-finals,1.0,0.0,0.0,-2759,-2759,2.0,4.0,2.0,0.0,0.0,0.0
WC-1962,4.0,third-place match,1.0,0.0,0.0,-2756,-2756,1.0,2.0,1.0,0.0,0.0,0.0
WC-1962,5.0,final,1.0,0.0,0.0,-2755,-2755,1.0,2.0,1.0,0.0,0.0,0.0
WC-1966,1.0,group stage,0.0,1.0,0.0,-1270,-1261,24.0,16.0,24.0,0.0,0.0,0.0
WC-1966,2.0,quarter-finals,1.0,0.0,0.0,-1258,-1258,4.0,8.0,4.0,0.0,0.0,0.0
WC-1966,3.0,semi-finals,1.0,0.0,0.0,-1256,-1255,2.0,4.0,2.0,0.0,0.0,0.0
WC-1966,4.0,third-place match,1.0,0.0,0.0,-1253,-1253,1.0,2.0,1.0,0.0,0.0,0.0
WC-1966,5.0,final,1.0,0.0,0.0,-1251,-1251,1.0,2.0,1.0,0.0,0.0,0.0
WC-1970,1.0,group stage,0.0,1.0,0.0,150,161,24.0,16.0,24.0,0.0,0.0,0.0
WC-1970,2.0,quarter-finals,1.0,0.0,0.0,164,164,4.0,8.0,4.0,0.0,0.0,0.0
WC-1970,3.0,semi-finals,1.0,0.0,0.0,167,167,2.0,4.0,2.0,0.0,0.0,0.0
WC-1970,4.0,third-place match,1.0,0.0,0.0,170,170,1.0,2.0,1.0,0.0,0.0,0.0
WC-1970,5.0,final,1.0,0.0,0.0,171,171,1.0,2.0,1.0,0.0,0.0,0.0
WC-1974,1.0,group stage,0.0,1.0,0.0,1624,1634,24.0,16.0,24.0,0.0,0.0,0.0
WC-1974,2.0,second group stage,0.0,1.0,0.0,1637,1644,12.0,8.0,12.0,0.0,0.0,0.0
WC-1974,3.0,third-place match,1.0,0.0,0.0,1647,1647,1.0,2.0,1.0,0.0,0.0,0.0
WC-1974,4.0,final,1.0,0.0,0.0,1648,1648,1.0,2.0,1.0,0.0,0.0,0.0
WC-1978,1.0,group stage,0.0,1.0,0.0,3073,3083,24.0,16.0,24.0,0.0,0.0,0.0
WC-1978,2.0,second group stage,0.0,1.0,0.0,3086,3093,12.0,8.0,12.0,0.0,0.0,0.0
WC-1978,3.0,third-place match,1.0,0.0,0.0,3096,3096,1.0,2.0,1.0,0.0,0.0,0.0
WC-1978,4.0,final,1.0,0.0,0.0,3097,3097,1.0,2.0,1.0,0.0,0.0,0.0
WC-1982,1.0,group stage,0.0,1.0,0.0,4546,4558,36.0,24.0,36.0,0.0,0.0,0.0
WC-1982,2.0,second group stage,0.0,1.0,0.0,4561,4568,12.0,12.0,12.0,0.0,0.0,0.0
WC-1982,3.0,semi-finals,1.0,0.0,0.0,4571,4571,2.0,4.0,2.0,0.0,0.0,0.0
WC-1982,4.0,third-place match,1.0,0.0,0.0,4573,4573,1.0,2.0,1.0,0.0,0.0,0.0
WC-1982,5.0,final,1.0,0.0,0.0,4574,4574,1.0,2.0,1.0,0.0,0.0,0.0
WC-1986,1.0,group stage,0.0,1.0,0.0,5994,6007,36.0,24.0,36.0,0.0,0.0,0.0
WC-1986,2.0,round of 16,1.0,0.0,0.0,6009,6012,8.0,16.0,8.0,0.0,0.0,0.0
WC-1986,3.0,quarter-finals,1.0,0.0,0.0,6015,6016,4.0,8.0,4.0,0.0,0.0,0.0
WC-1986,4.0,semi-finals,1.0,0.0,0.0,6019,6019,2.0,4.0,2.0,0.0,0.0,0.0
WC-1986,5.0,third-place match,1.0,0.0,0.0,6022,6022,1.0,2.0,1.0,0.0,0.0,0.0
WC-1986,6.0,final,1.0,0.0,0.0,6023,6023,1.0,2.0,1.0,0.0,0.0,0.0
WC-1990,1.0,group stage,0.0,1.0,0.0,7463,7476,36.0,24.0,36.0,0.0,0.0,0.0
WC-1990,2.0,round of 16,1.0,0.0,0.0,7478,7481,8.0,16.0,8.0,0.0,0.0,0.0
WC-1990,3.0,quarter-finals,1.0,0.0,0.0,7485,7486,4.0,8.0,4.0,0.0,0.0,0.0
WC-1990,4.0,semi-finals,1.0,0.0,0.0,7488,7489,2.0,4.0,2.0,0.0,0.0,0.0
WC-1990,5.0,third-place match,1.0,0.0,0.0,7492,7492,1.0,2.0,1.0,0.0,0.0,0.0
WC-1990,6.0,final,1.0,0.0,0.0,7493,7493,1.0,2.0,1.0,0.0,0.0,0.0
WC-1994,1.0,group stage,0.0,1.0,0.0,8933,8946,36.0,24.0,36.0,0.0,0.0,0.0
WC-1994,2.0,round of 16,1.0,0.0,0.0,8948,8951,8.0,16.0,8.0,0.0,0.0,0.0
WC-1994,3.0,quarter-finals,1.0,0.0,0.0,8955,8956,4.0,8.0,4.0,0.0,0.0,0.0
WC-1994,4.0,semi-finals,1.0,0.0,0.0,8959,8959,2.0,4.0,2.0,0.0,0.0,0.0
WC-1994,5.0,third-place match,1.0,0.0,0.0,8962,8962,1.0,2.0,1.0,0.0,0.0,0.0
WC-1994,6.0,final,1.0,0.0,0.0,8963,8963,1.0,2.0,1.0,0.0,0.0,0.0
WC-1998,1.0,group stage,0.0,1.0,0.0,10387,10403,48.0,32.0,48.0,0.0,0.0,0.0
WC-1998,2.0,round of 16,1.0,0.0,0.0,10404,10407,8.0,16.0,8.0,0.0,0.0,0.0
WC-1998,3.0,quarter-finals,1.0,0.0,0.0,10410,10411,4.0,8.0,4.0,0.0,0.0,0.0
WC-1998,4.0,semi-finals,1.0,0.0,0.0,10414,10415,2.0,4.0,2.0,0.0,0.0,0.0
WC-1998,5.0,third-place match,1.0,0.0,0.0,10418,10418,1.0,2.0,1.0,0.0,0.0,0.0
WC-1998,6.0,final,1.0,0.0,0.0,10419,10419,1.0,2.0,1.0,0.0,0.0,0.0
WC-2002,1.0,group stage,0.0,1.0,0.0,11838,11852,48.0,32.0,48.0,0.0,0.0,0.0
WC-2002,2.0,round of 16,1.0,0.0,0.0,11853,11856,8.0,16.0,8.0,0.0,0.0,0.0
WC-2002,3.0,quarter-finals,1.0,0.0,0.0,11859,11860,4.0,8.0,4.0,0.0,0.0,0.0
WC-2002,4.0,semi-finals,1.0,0.0,0.0,11863,11864,2.0,4.0,2.0,0.0,0.0,0.0
WC-2002,5.0,third-place match,1.0,0.0,0.0,11867,11867,1.0,2.0,1.0,0.0,0.0,0.0
WC-2002,6.0,final,1.0,0.0,0.0,11868,11868,1.0,2.0,1.0,0.0,0.0,0.0
WC-2006,1.0,group stage,0.0,1.0,0.0,13308,13322,48.0,32.0,48.0,0.0,0.0,0.0
WC-2006,2.0,round of 16,1.0,0.0,0.0,13323,13326,8.0,16.0,8.0,0.0,0.0,0.0
WC-2006,3.0,quarter-finals,1.0,0.0,0.0,13329,13330,4.0,8.0,4.0,0.0,0.0,0.0
WC-2006,4.0,semi-finals,1.0,0.0,0.0,13333,13334,2.0,4.0,2.0,0.0,0.0,0.0
WC-2006,5.0,third-place match,1.0,0.0,0.0,13337,13337,1.0,2.0,1.0,0.0,0.0,0.0
WC-2006,6.0,final,1.0,0.0,0.0,13338,13338,1.0,2.0,1.0,0.0,0.0,0.0
WC-2010,1.0,group stage,0.0,1.0,0.0,14771,14785,48.0,32.0,48.0,0.0,0.0,0.0
WC-2010,2.0,round of 16,1.0,0.0,0.0,14786,14789,8.0,16.0,8.0,0.0,0.0,0.0
WC-2010,3.0,quarter-finals,1.0,0.0,0.0,14792,14793,4.0,8.0,4.0,0.0,0.0,0.0
WC-2010,4.0,semi-finals,1.0,0.0,0.0,14796,14797,2.0,4.0,2.0,0.0,0.0,0.0
WC-2010,5.0,third-place match,1.0,0.0,0.0,14800,14800,1.0,2.0,1.0,0.0,0.0,0.0
WC-2010,6.0,final,1.0,0.0,0.0,14801,14801,1.0,2.0,1.0,0.0,0.0,0.0
WC-2014,1.0,group stage,0.0,1.0,0.0,16233,16247,48.0,32.0,48.0,0.0,0.0,0.0
WC-2014,2.0,round of 16,1.0,0.0,0.0,16249,16252,8.0,16.0,8.0,0.0,0.0,0.0
WC-2014,3.0,quarter-finals,1.0,0.0,0.0,16255,16256,4.0,8.0,4.0,0.0,0.0,0.0
WC-2014,4.0,semi-finals,1.0,0.0,0.0,16259,16260,2.0,4.0,2.0,0.0,0.0,0.0
WC-2014,5.0,third-place match,1.0,0.0,0.0,16263,16263,1.0,2.0,1.0,0.0,0.0,0.0
WC-2014,6.0,final,1.0,0.0,0.0,16264,16264,1.0,2.0,1.0,0.0,0.0,0.0
WC-2018,1.0,group stage,0.0,1.0,0.0,17696,17710,48.0,32.0,48.0,0.0,0.0,0.0
WC-2018,2.0,round of 16,1.0,0.0,0.0,17712,17715,8.0,16.0,8.0,0.0,0.0,0.0
WC-2018,3.0,quarter-finals,1.0,0.0,0.0,17718,17719,4.0,8.0,4.0,0.0,0.0,0.0
WC-2018,4.0,semi-finals,1.0,0.0,0.0,17722,17723,2.0,4.0,2.0,0.0,0.0,0.0
WC-2018,5.0,third-place match,1.0,0.0,0.0,17726,17726,1.0,2.0,1.0,0.0,0.0,0.0
WC-2018,6.0,final,1.0,0.0,0.0,17727,17727,1.0,2.0,1.0,0.0,0.0,0.0
